Date : 2025-01-26 18:46:03
Directory : /home/clr/projects/movie-app
Total : 220 files,  19006 codes, 588 comments, 1601 blanks, all 21195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/clr/projects/movie-app/components/cards/review-card.tsx                                                   | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /home/clr/projects/movie-app/components/cards/simple-content-card.tsx                                           | TypeScript JSX     |         25 |          0 |          7 |         32 |
| /home/clr/projects/movie-app/components/cards/simple-orizontal-card.tsx                                         | TypeScript JSX     |         25 |          0 |          6 |         31 |
| /home/clr/projects/movie-app/components/cards/tv-card.tsx                                                       | TypeScript JSX     |         48 |          1 |          5 |         54 |
| /home/clr/projects/movie-app/components/cards/working-person-card.tsx                                           | TypeScript JSX     |         30 |          0 |          4 |         34 |
| /home/clr/projects/movie-app/components/content/body.tsx                                                        | TypeScript JSX     |         32 |          0 |          7 |         39 |
| /home/clr/projects/movie-app/components/content/carousel-vertical.tsx                                           | TypeScript JSX     |         35 |          0 |          8 |         43 |
| /home/clr/projects/movie-app/components/content/combobox-filters.tsx                                            | TypeScript JSX     |         94 |          0 |         12 |        106 |
| /home/clr/projects/movie-app/components/content/content-display.tsx                                             | TypeScript JSX     |         31 |          0 |          5 |         36 |
| /home/clr/projects/movie-app/components/content/content-header.tsx                                              | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /home/clr/projects/movie-app/components/content/content-infos.tsx                                               | TypeScript JSX     |         39 |          0 |          4 |         43 |
| /home/clr/projects/movie-app/components/content/content-navbar.tsx                                              | TypeScript JSX     |         45 |          0 |          3 |         48 |
| /home/clr/projects/movie-app/components/content/content-prod-logos.tsx                                          | TypeScript JSX     |         25 |          0 |          2 |         27 |
| /home/clr/projects/movie-app/components/content/filters-section.tsx                                             | TypeScript JSX     |         33 |          0 |          2 |         35 |
| /home/clr/projects/movie-app/components/content/filters-sidebar.tsx                                             | TypeScript JSX     |         56 |          0 |          7 |         63 |
| /home/clr/projects/movie-app/components/content/filters.tsx                                                     | TypeScript JSX     |         33 |          0 |          8 |         41 |
| /home/clr/projects/movie-app/components/content/overview-modal.tsx                                              | TypeScript JSX     |         29 |          0 |          4 |         33 |
| /home/clr/projects/movie-app/components/content/provider-modal.tsx                                              | TypeScript JSX     |         59 |          0 |          4 |         63 |
| /home/clr/projects/movie-app/components/content/provider-section.tsx                                            | TypeScript JSX     |         36 |          0 |          7 |         43 |
| /home/clr/projects/movie-app/components/content/range-date-picker.tsx                                           | TypeScript JSX     |         96 |          0 |          9 |        105 |
| /home/clr/projects/movie-app/components/content/render-stars.tsx                                                | TypeScript JSX     |         20 |          0 |          2 |         22 |
| /home/clr/projects/movie-app/components/content/review-modal.tsx                                                | TypeScript JSX     |         62 |          0 |         10 |         72 |
| /home/clr/projects/movie-app/components/content/similar-content-section.tsx                                     | TypeScript JSX     |         40 |          0 |          7 |         47 |
| /home/clr/projects/movie-app/components/content/toggle-watchlist.tsx                                            | TypeScript JSX     |         25 |          0 |          4 |         29 |
| /home/clr/projects/movie-app/components/content/user-section.tsx                                                | TypeScript JSX     |         56 |          0 |          6 |         62 |
| /home/clr/projects/movie-app/components/content/video-section.tsx                                               | TypeScript JSX     |         92 |          0 |         17 |        109 |
| /home/clr/projects/movie-app/components/content/year-input.tsx                                                  | TypeScript JSX     |         28 |         36 |          9 |         73 |
